gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,performance_level
female,group E,associate's degree,standard,none,78,72,71,221,Medium
female,group C,master's degree,standard,completed,71,79,89,239,Medium
female,group C,some high school,standard,none,75,80,72,227,Medium
male,group C,bachelor's degree,free/reduced,none,70,60,56,186,Medium
male,group B,associate's degree,standard,none,54,52,48,154,Low
male,group B,high school,standard,none,49,36,32,117,Low
male,group B,associate's degree,free/reduced,completed,80,82,82,244,High
female,group E,bachelor's degree,standard,none,78,89,93,260,High
male,group C,bachelor's degree,standard,none,89,77,82,248,High
female,group C,bachelor's degree,standard,completed,65,83,82,230,Medium
male,group D,associate's degree,standard,none,78,74,71,223,Medium
female,group D,high school,standard,none,69,85,78,232,Medium
male,group D,some college,free/reduced,none,49,47,48,144,Low
female,group D,master's degree,free/reduced,none,50,64,66,180,Medium
female,group E,some college,standard,none,79,76,71,226,Medium
female,group D,some college,standard,completed,89,92,97,278,High
male,group A,associate's degree,free/reduced,completed,48,61,59,168,Low
female,group A,bachelor's degree,standard,none,63,67,71,201,Medium
female,group C,some college,standard,none,88,100,88,276,High
female,group D,associate's degree,standard,none,66,73,73,212,Medium
female,group B,some college,free/reduced,none,45,59,56,160,Low
female,group E,some high school,standard,completed,62,78,73,213,Medium
male,group D,some college,free/reduced,completed,74,80,86,240,High
female,group D,bachelor's degree,free/reduced,none,82,87,90,259,High
male,group E,some college,free/reduced,completed,83,63,63,209,Medium
female,group D,some high school,free/reduced,completed,60,72,76,208,Medium
female,group D,high school,standard,none,66,73,72,211,Medium
male,group C,bachelor's degree,free/reduced,none,76,66,68,210,Medium
male,group B,associate's degree,standard,completed,75,74,76,225,Medium
male,group B,some college,standard,completed,77,72,79,228,Medium
female,group E,some college,free/reduced,none,82,88,86,256,High
male,group C,associate's degree,standard,completed,63,59,60,182,Medium
female,group D,high school,standard,none,70,85,85,240,High
male,group D,associate's degree,standard,completed,84,71,76,231,Medium
male,group C,high school,standard,completed,68,60,63,191,Medium
male,group C,some college,free/reduced,none,56,58,50,164,Low
female,group C,associate's degree,free/reduced,none,37,46,43,126,Low
female,group D,some high school,standard,none,49,56,53,158,Low
female,group E,some college,standard,completed,100,100,100,300,High
male,group D,some college,standard,none,83,68,65,216,Medium
female,group E,master's degree,free/reduced,completed,92,100,98,290,High
male,group E,master's degree,free/reduced,none,71,62,66,199,Medium
male,group D,associate's degree,free/reduced,completed,72,76,73,221,Medium
female,group D,bachelor's degree,free/reduced,none,37,53,48,138,Low
male,group C,bachelor's degree,free/reduced,none,35,43,35,113,Low
male,group C,some college,free/reduced,none,69,68,62,199,Medium
female,group C,bachelor's degree,standard,none,65,73,81,219,Medium
male,group E,high school,free/reduced,none,56,48,36,140,Low
female,group D,high school,standard,none,40,46,57,143,Low
female,group E,high school,standard,none,60,62,60,182,Medium
female,group C,some high school,standard,none,57,66,73,196,Medium
female,group C,some high school,free/reduced,completed,58,62,66,186,Medium
female,group D,some college,standard,completed,74,95,94,263,High
female,group B,some college,standard,none,77,77,83,237,Medium
male,group E,some college,free/reduced,none,66,57,53,176,Low
female,group D,some college,standard,completed,62,79,87,228,Medium
male,group C,high school,free/reduced,none,29,38,27,94,Low
female,group B,some college,standard,none,70,73,66,209,Medium
male,group A,associate's degree,free/reduced,none,67,64,60,191,Medium
female,group C,high school,standard,completed,81,91,94,266,High
male,group C,associate's degree,free/reduced,none,56,50,43,149,Low
female,group D,some college,free/reduced,none,61,79,76,216,Medium
female,group D,high school,free/reduced,completed,47,54,56,157,Low
male,group A,bachelor's degree,standard,completed,88,87,94,269,High
male,group C,some college,standard,completed,51,52,52,155,Low
male,group C,master's degree,standard,none,68,60,62,190,Medium
female,group B,associate's degree,standard,none,68,71,71,210,Medium
female,group B,high school,free/reduced,none,47,49,50,146,Low
male,group E,master's degree,free/reduced,completed,84,77,82,243,High
male,group B,some college,free/reduced,none,69,72,68,209,Medium
female,group D,bachelor's degree,standard,completed,52,69,75,196,Medium
male,group B,associate's degree,standard,none,80,79,79,238,Medium
male,group C,bachelor's degree,standard,none,100,84,88,272,High
male,group C,high school,standard,completed,53,59,64,176,Low
female,group B,master's degree,standard,completed,59,73,74,206,Medium
female,group B,some college,standard,none,78,96,89,263,High
female,group B,associate's degree,standard,none,84,87,89,260,High
female,group C,high school,free/reduced,none,52,72,71,195,Medium
male,group C,associate's degree,free/reduced,none,81,78,75,234,Medium
female,group C,associate's degree,standard,completed,90,95,100,285,High
female,group A,high school,standard,none,63,73,66,202,Medium
male,group D,bachelor's degree,standard,completed,100,97,100,297,High
female,group B,some college,standard,none,56,63,62,181,Medium
female,group B,some college,standard,none,46,54,54,154,Low
female,group B,high school,free/reduced,completed,75,85,90,250,High
female,group A,some college,standard,none,46,51,54,151,Low
male,group A,some high school,free/reduced,none,42,40,40,122,Low
female,group C,some high school,standard,completed,77,86,90,253,High
female,group C,some college,free/reduced,none,40,63,56,159,Low
female,group D,high school,standard,none,69,71,76,216,Medium
male,group C,high school,standard,none,43,50,45,138,Low
female,group C,associate's degree,standard,completed,69,75,71,215,Medium
female,group D,bachelor's degree,standard,completed,89,93,100,282,High
male,group B,associate's degree,standard,none,44,34,36,114,Low
male,group D,high school,free/reduced,completed,82,83,77,242,High
male,group D,associate's degree,free/reduced,none,72,72,65,209,Medium
male,group C,bachelor's degree,standard,none,64,53,50,167,Low
male,group D,some high school,standard,none,89,73,70,232,Medium
male,group E,associate's degree,free/reduced,none,58,53,54,165,Low
female,group A,high school,standard,completed,63,81,78,222,Medium
female,group A,bachelor's degree,standard,none,54,66,69,189,Medium
male,group C,high school,free/reduced,completed,83,78,82,243,High
female,group C,high school,standard,none,57,74,64,195,Medium
female,group C,high school,standard,none,52,47,48,147,Low
female,group D,high school,standard,completed,75,93,97,265,High
male,group E,high school,free/reduced,completed,67,66,64,197,Medium
male,group B,some high school,standard,none,58,60,53,171,Low
female,group B,bachelor's degree,free/reduced,none,63,66,68,197,Medium
female,group D,some high school,free/reduced,none,49,64,57,170,Low
female,group D,some college,free/reduced,none,38,47,52,137,Low
female,group B,some college,standard,completed,74,85,84,243,High
male,group C,associate's degree,free/reduced,completed,69,84,82,235,Medium
female,group D,associate's degree,standard,none,77,82,80,239,Medium
female,group A,master's degree,free/reduced,none,40,59,59,158,Low
female,group B,master's degree,standard,completed,96,98,100,294,High
female,group B,bachelor's degree,standard,none,85,86,85,256,High
male,group D,associate's degree,standard,none,85,77,76,238,Medium
male,group C,high school,standard,none,72,59,54,185,Medium
female,group B,associate's degree,free/reduced,none,63,78,73,214,Medium
male,group B,some high school,standard,none,58,67,58,183,Medium
male,group B,bachelor's degree,free/reduced,none,58,64,54,176,Low
male,group C,high school,free/reduced,none,51,57,53,161,Low
female,group D,master's degree,standard,completed,100,100,100,300,High
female,group D,master's degree,standard,none,77,84,92,253,High
male,group E,bachelor's degree,free/reduced,none,63,56,56,175,Low
female,group C,some college,standard,none,64,67,68,199,Medium
male,group E,high school,standard,none,100,82,80,262,High
male,group C,associate's degree,standard,none,66,65,65,196,Medium
male,group E,bachelor's degree,standard,none,87,87,84,258,High
male,group C,high school,standard,none,73,72,69,214,Medium
male,group C,master's degree,free/reduced,completed,69,66,65,200,Medium
female,group C,high school,standard,none,62,64,63,189,Medium
female,group C,some high school,standard,none,40,48,49,137,Low
male,group C,some college,free/reduced,completed,55,68,60,183,Medium
male,group D,high school,standard,completed,77,77,78,232,Medium
male,group D,some college,standard,completed,63,70,71,204,Medium
male,group D,associate's degree,standard,completed,85,85,91,261,High
female,group B,high school,free/reduced,none,30,43,40,113,Low
male,group B,high school,standard,none,82,77,71,230,Medium
male,group D,associate's degree,free/reduced,completed,81,71,70,222,Medium
female,group C,some high school,standard,completed,92,100,97,289,High
male,group B,some college,free/reduced,none,50,48,36,134,Low
female,group B,associate's degree,standard,none,54,60,56,170,Low
male,group C,associate's degree,standard,completed,76,83,78,237,Medium
female,group D,some high school,standard,none,60,68,74,202,Medium
female,group A,associate's degree,free/reduced,completed,45,72,66,183,Medium
male,group D,high school,standard,none,80,77,72,229,Medium
male,group D,some high school,free/reduced,none,52,45,48,145,Low
female,group C,high school,standard,completed,90,89,97,276,High
female,group D,high school,free/reduced,none,53,65,69,187,Medium
female,group C,associate's degree,standard,none,92,95,95,282,High
female,group C,some college,standard,completed,63,78,75,216,Medium
female,group B,some high school,standard,none,71,77,79,227,Medium
female,group D,some high school,standard,none,64,70,73,207,Medium
female,group C,some college,standard,completed,67,81,89,237,Medium
male,group C,high school,free/reduced,none,63,63,61,187,Medium
male,group B,high school,standard,none,63,53,44,160,Low
male,group C,some high school,standard,none,59,49,46,154,Low
male,group E,high school,standard,none,49,43,35,127,Low
female,group D,master's degree,standard,none,75,84,86,245,High
female,group C,some high school,free/reduced,none,34,47,45,126,Low
female,group B,associate's degree,free/reduced,none,53,70,69,192,Medium
male,group B,master's degree,standard,none,63,56,60,179,Low
male,group C,associate's degree,standard,none,75,69,65,209,Medium
male,group E,associate's degree,free/reduced,none,63,61,62,186,Medium
female,group C,high school,standard,none,70,72,75,217,Medium
female,group C,some college,standard,none,61,73,70,204,Medium
male,group C,associate's degree,standard,none,74,61,59,194,Medium
male,group D,associate's degree,free/reduced,none,57,49,48,154,Low
male,group C,some high school,free/reduced,completed,41,52,47,140,Low
male,group D,some high school,standard,none,87,80,76,243,High
male,group C,high school,free/reduced,none,69,71,62,202,Medium
male,group C,associate's degree,free/reduced,none,69,77,70,216,Medium
male,group D,high school,standard,completed,58,56,56,170,Low
female,group B,some college,free/reduced,completed,47,69,62,178,Low
male,group D,associate's degree,standard,completed,78,69,71,218,Medium
female,group B,some college,free/reduced,completed,54,61,71,186,Medium
male,group C,some college,free/reduced,none,36,27,26,89,Low
male,group B,bachelor's degree,standard,completed,94,92,92,278,High
female,group D,associate's degree,free/reduced,none,68,84,80,232,Medium
female,group E,high school,standard,none,90,88,84,262,High
male,group A,some college,standard,none,57,57,53,167,Low
male,group D,some college,standard,completed,96,95,90,281,High
male,group B,some high school,standard,completed,68,63,62,193,Medium
female,group C,some high school,standard,completed,52,64,63,179,Low
male,group E,associate's degree,standard,none,90,76,73,239,Medium
male,group C,some college,free/reduced,completed,71,82,75,228,Medium
female,group C,some college,free/reduced,completed,58,69,74,201,Medium
male,group C,some high school,free/reduced,none,41,39,34,114,Low
male,group D,some high school,standard,completed,43,37,43,123,Low
male,group D,high school,standard,none,85,70,71,226,Medium
male,group B,some high school,standard,none,71,72,69,212,Medium
female,group A,high school,standard,none,72,70,72,214,Medium
male,group D,associate's degree,free/reduced,none,70,62,66,198,Medium
female,group D,bachelor's degree,standard,none,89,100,100,289,High
female,group E,high school,standard,none,92,86,82,260,High
male,group E,some college,free/reduced,completed,80,79,81,240,High
male,group C,some high school,standard,none,80,70,60,210,Medium
female,group B,high school,standard,none,56,64,59,179,Low
male,group E,high school,free/reduced,none,93,86,73,252,High
male,group C,associate's degree,free/reduced,completed,49,37,41,127,Low
female,group E,master's degree,standard,none,59,57,58,174,Low
female,group C,some high school,standard,completed,64,74,75,213,Medium
male,group D,some high school,standard,none,73,66,59,198,Medium
female,group B,some college,standard,completed,82,86,90,258,High
male,group D,high school,free/reduced,none,48,43,41,132,Low
female,group A,some high school,free/reduced,completed,51,64,62,177,Low
female,group E,some high school,free/reduced,completed,38,46,43,127,Low
male,group B,some college,free/reduced,none,45,50,42,137,Low
female,group A,some college,standard,completed,83,92,95,270,High
female,group B,some high school,standard,completed,45,57,56,158,Low
male,group D,high school,free/reduced,none,66,64,62,192,Medium
male,group D,high school,free/reduced,completed,60,62,57,179,Low
male,group C,associate's degree,standard,none,49,47,49,145,Low
male,group D,bachelor's degree,standard,none,80,84,86,250,High
male,group E,high school,standard,none,75,68,66,209,Medium
male,group B,some college,free/reduced,completed,57,68,61,186,Medium
female,group B,some high school,free/reduced,none,25,36,37,98,Low
male,group E,some college,free/reduced,none,90,87,81,258,High
female,group D,some college,standard,none,63,70,71,204,Medium
male,group E,associate's degree,standard,none,100,91,86,277,High
male,group C,associate's degree,free/reduced,none,76,68,66,210,Medium
female,group B,some high school,free/reduced,none,52,58,53,163,Low
female,group B,master's degree,standard,completed,81,86,93,260,High
male,group C,associate's degree,standard,completed,90,89,87,266,High
male,group D,associate's degree,standard,none,83,82,81,246,High
female,group B,high school,standard,none,61,73,69,203,Medium
female,group E,associate's degree,standard,completed,79,69,75,223,Medium
male,group B,some college,standard,none,52,53,51,156,Low
female,group B,bachelor's degree,standard,completed,62,65,67,194,Medium
female,group D,some college,standard,none,85,90,84,259,High
female,group E,high school,free/reduced,completed,74,96,95,265,High
male,group C,associate's degree,free/reduced,none,83,85,78,246,High
male,group C,some college,standard,none,78,72,72,222,Medium
female,group C,high school,free/reduced,none,41,43,40,124,Low
female,group A,high school,standard,none,77,91,87,255,High
male,group C,bachelor's degree,standard,none,95,99,91,285,High
female,group B,high school,free/reduced,none,50,68,66,184,Medium
male,group C,some college,standard,none,74,76,70,220,Medium
female,group D,bachelor's degree,standard,completed,74,93,93,260,High
male,group E,high school,standard,none,70,62,61,193,Medium
male,group D,associate's degree,free/reduced,none,61,59,54,174,Low
female,group A,master's degree,standard,completed,94,100,100,294,High
female,group D,high school,standard,none,66,84,77,227,Medium
female,group D,master's degree,standard,none,83,88,93,264,High
male,group D,high school,standard,none,75,63,60,198,Medium
male,group D,high school,free/reduced,completed,56,65,63,184,Medium
female,group B,some college,free/reduced,none,66,88,83,237,Medium
female,group B,high school,free/reduced,none,61,69,66,196,Medium
male,group C,some high school,standard,completed,70,79,73,222,Medium
male,group C,master's degree,standard,none,57,59,53,169,Low
female,group C,associate's degree,free/reduced,completed,78,89,90,257,High
female,group C,some high school,standard,none,62,76,67,205,Medium
male,group C,some high school,standard,completed,64,53,49,166,Low
female,group B,high school,free/reduced,none,55,66,65,186,Medium
female,group D,some college,standard,none,72,83,83,238,Medium
male,group A,some college,free/reduced,none,49,48,42,139,Low
female,group D,some college,standard,none,62,60,63,185,Medium
male,group B,some high school,free/reduced,none,76,73,68,217,Medium
female,group C,master's degree,standard,completed,73,86,85,244,High
female,group C,associate's degree,standard,completed,72,76,78,226,Medium
male,group C,high school,standard,none,85,85,76,246,High
male,group A,some college,free/reduced,none,71,68,65,204,Medium
female,group C,some high school,free/reduced,none,28,38,31,97,Low
male,group C,high school,free/reduced,none,41,42,38,121,Low
male,group E,associate's degree,standard,none,78,72,68,218,Medium
male,group C,master's degree,free/reduced,none,48,52,44,144,Low
male,group C,associate's degree,free/reduced,none,38,51,47,136,Low
female,group A,bachelor's degree,standard,completed,91,100,100,291,High
female,group D,bachelor's degree,standard,none,71,81,80,232,Medium
female,group D,bachelor's degree,standard,none,84,87,92,263,High
male,group E,associate's degree,free/reduced,completed,63,60,63,186,Medium
female,group A,associate's degree,standard,completed,70,78,87,235,Medium
male,group B,bachelor's degree,free/reduced,completed,48,52,57,157,Low
male,group D,some high school,standard,completed,68,72,73,213,Medium
female,group D,some college,standard,none,84,84,87,255,High
male,group D,high school,standard,none,61,62,60,183,Medium
male,group C,some high school,free/reduced,none,62,59,62,183,Medium
female,group C,master's degree,free/reduced,none,66,78,83,227,Medium
female,group C,high school,standard,completed,52,65,71,188,Medium
female,group D,some college,standard,completed,68,75,73,216,Medium
male,group D,some college,free/reduced,completed,62,68,71,201,Medium
male,group E,bachelor's degree,standard,completed,90,88,84,262,High
female,group A,master's degree,free/reduced,none,42,50,44,136,Low
male,group D,associate's degree,free/reduced,completed,74,90,89,253,High
male,group B,associate's degree,standard,completed,62,61,61,184,Medium
male,group C,some college,standard,none,56,55,50,161,Low
male,group C,high school,free/reduced,none,64,52,54,170,Low
male,group D,high school,standard,completed,79,84,80,243,High
female,group C,some high school,standard,none,44,65,63,172,Low
female,group B,some college,standard,completed,69,94,87,250,High
male,group A,some college,standard,none,53,48,48,149,Low
male,group C,high school,standard,none,74,69,61,204,Medium
male,group C,associate's degree,standard,none,49,55,48,152,Low
female,group D,associate's degree,free/reduced,none,57,71,71,199,Medium
female,group D,master's degree,standard,none,61,72,64,197,Medium
female,group C,master's degree,free/reduced,none,65,88,84,237,Medium
female,group C,some college,standard,none,51,60,52,163,Low
female,group C,some high school,standard,none,49,51,41,141,Low
male,group B,master's degree,free/reduced,none,56,65,56,177,Low
male,group D,associate's degree,standard,none,65,62,63,190,Medium
male,group D,some college,standard,none,70,64,62,196,Medium
male,group D,some college,standard,none,91,95,88,274,High
female,group D,high school,standard,completed,48,56,64,168,Low
female,group C,associate's degree,standard,completed,94,99,100,293,High
male,group B,master's degree,standard,none,77,76,73,226,Medium
female,group D,some high school,standard,none,59,78,75,212,Medium
female,group C,some college,free/reduced,none,57,75,70,202,Medium
female,group C,some high school,standard,none,76,82,74,232,Medium
male,group D,high school,standard,none,65,63,64,192,Medium
female,group B,master's degree,standard,completed,75,75,83,233,Medium
male,group D,master's degree,standard,none,70,66,65,201,Medium
male,group C,high school,standard,completed,79,79,70,228,Medium
male,group E,associate's degree,standard,completed,100,100,100,300,High
female,group A,bachelor's degree,standard,completed,83,96,99,278,High
female,group C,associate's degree,free/reduced,none,70,84,78,232,Medium
male,group E,some high school,standard,completed,97,80,88,265,High
female,group E,high school,free/reduced,none,33,32,35,100,Low
male,group B,master's degree,free/reduced,none,38,40,41,119,Low
male,group C,some college,standard,completed,46,51,47,144,Low
female,group D,some college,free/reduced,none,13,36,37,86,Low
male,group A,master's degree,standard,none,85,83,78,246,High
female,group B,some college,standard,none,79,79,80,238,Medium
female,group B,some high school,standard,none,76,81,79,236,Medium
female,group C,some high school,free/reduced,completed,53,70,65,188,Medium
male,group A,high school,standard,completed,68,70,63,201,Medium
male,group D,associate's degree,free/reduced,completed,67,70,70,207,Medium
male,group E,some college,standard,completed,100,84,88,272,High
male,group C,associate's degree,free/reduced,none,54,48,45,147,Low
female,group E,associate's degree,free/reduced,none,72,73,70,215,Medium
male,group A,some college,standard,completed,91,97,95,283,High
male,group D,master's degree,standard,completed,87,81,86,254,High
female,group D,associate's degree,free/reduced,none,66,75,74,215,Medium
male,group C,some high school,standard,none,65,66,64,195,Medium
female,group E,associate's degree,free/reduced,completed,41,56,53,150,Low
female,group C,associate's degree,standard,none,67,69,65,201,Medium
male,group E,high school,standard,none,94,89,86,269,High
female,group B,bachelor's degree,free/reduced,completed,57,70,68,195,Medium
male,group A,high school,standard,none,89,83,80,252,High
male,group A,associate's degree,standard,completed,77,73,80,230,Medium
male,group C,some high school,standard,none,57,60,50,167,Low
male,group D,some college,standard,completed,72,72,72,216,Medium
male,group D,bachelor's degree,standard,completed,98,94,95,287,High
female,group D,master's degree,standard,none,87,97,100,284,High
male,group C,some high school,free/reduced,none,61,57,55,173,Low
female,group C,master's degree,standard,none,85,100,97,282,High
female,group D,some high school,standard,none,81,85,91,257,High
female,group D,high school,standard,completed,74,84,79,237,Medium
male,group C,bachelor's degree,standard,none,98,92,90,280,High
female,group D,some college,standard,none,86,84,89,259,High
male,group C,bachelor's degree,standard,completed,85,81,82,248,High
male,group C,some college,standard,none,68,71,63,202,Medium
female,group E,high school,free/reduced,completed,66,78,77,221,Medium
male,group B,some high school,free/reduced,completed,75,74,71,220,Medium
male,group C,bachelor's degree,standard,none,79,57,58,194,Medium
female,group B,bachelor's degree,free/reduced,none,59,85,82,226,Medium
male,group B,master's degree,free/reduced,none,60,62,58,180,Medium
male,group D,high school,standard,none,69,60,54,183,Medium
female,group B,high school,free/reduced,none,49,54,58,161,Low
male,group D,some college,standard,none,62,44,52,158,Low
female,group E,high school,free/reduced,completed,70,84,83,237,Medium
male,group D,bachelor's degree,standard,none,71,57,60,188,Medium
male,group C,bachelor's degree,standard,none,71,69,65,205,Medium
female,group C,some high school,free/reduced,none,50,59,54,163,Low
female,group B,high school,standard,none,52,55,57,164,Low
male,group E,some college,free/reduced,completed,75,65,66,206,Medium
female,group C,bachelor's degree,standard,none,51,64,63,178,Low
male,group C,some high school,standard,none,64,48,50,162,Low
female,group A,some college,free/reduced,completed,65,76,72,213,Medium
male,group B,master's degree,standard,none,99,81,87,267,High
female,group B,associate's degree,standard,none,60,62,58,180,Medium
female,group B,some college,standard,none,70,78,80,228,Medium
male,group A,some college,standard,completed,77,76,77,230,Medium
male,group B,high school,free/reduced,none,37,28,23,88,Low
male,group E,associate's degree,free/reduced,none,73,73,61,207,Medium
female,group B,associate's degree,free/reduced,completed,53,74,75,202,Medium
female,group B,associate's degree,standard,none,67,58,62,187,Medium
female,group B,some college,free/reduced,none,67,79,80,226,Medium
male,group B,high school,free/reduced,none,51,57,50,158,Low
male,group D,high school,standard,completed,64,71,70,205,Medium
male,group E,some college,free/reduced,none,55,42,43,140,Low
male,group D,associate's degree,free/reduced,completed,55,39,51,145,Low
male,group E,associate's degree,standard,none,86,77,78,241,High
female,group B,master's degree,standard,none,71,88,85,244,High
male,group C,high school,free/reduced,none,71,63,64,198,Medium
female,group C,some high school,free/reduced,none,51,67,69,187,Medium
female,group E,some college,standard,completed,75,76,85,236,Medium
male,group C,some high school,free/reduced,none,45,31,27,103,Low
male,group B,some high school,standard,none,59,54,48,161,Low
female,group E,high school,free/reduced,none,64,69,68,201,Medium
male,group A,some college,standard,completed,78,69,73,220,Medium
male,group D,high school,free/reduced,none,59,61,58,178,Low
male,group E,bachelor's degree,free/reduced,none,80,70,71,221,Medium
male,group B,associate's degree,standard,completed,68,82,77,227,Medium
female,group B,associate's degree,standard,none,77,81,79,237,Medium
male,group C,high school,standard,none,66,67,64,197,Medium
female,group C,some college,free/reduced,completed,26,44,46,116,Low
male,group D,some college,standard,completed,80,66,69,215,Medium
female,group D,some high school,free/reduced,none,48,62,61,171,Low
female,group A,associate's degree,standard,none,52,64,55,171,Low
female,group D,master's degree,free/reduced,none,54,64,64,182,Medium
female,group C,some college,standard,completed,59,68,67,194,Medium
male,group D,high school,standard,none,77,62,65,204,Medium
female,group B,some college,free/reduced,none,64,70,69,203,Medium
male,group D,high school,standard,none,83,72,68,223,Medium
male,group E,high school,free/reduced,none,70,73,69,212,Medium
male,group C,some high school,standard,none,72,68,67,207,Medium
female,group B,associate's degree,standard,none,83,78,79,240,High
female,group B,associate's degree,standard,none,52,58,57,167,Low
female,group C,some college,free/reduced,completed,53,73,74,200,Medium
male,group D,some college,standard,none,55,55,55,165,Low
male,group C,associate's degree,standard,none,65,63,61,189,Medium
female,group E,some high school,standard,none,60,67,64,191,Medium
male,group E,high school,free/reduced,completed,64,62,59,185,Medium
male,group C,associate's degree,standard,none,71,72,69,212,Medium
male,group C,bachelor's degree,free/reduced,completed,61,71,65,197,Medium
male,group D,associate's degree,standard,none,61,55,58,174,Low
female,group C,master's degree,standard,none,65,74,79,218,Medium
female,group D,some high school,standard,completed,71,83,89,243,High
male,group E,associate's degree,free/reduced,none,48,49,44,141,Low
male,group E,high school,free/reduced,completed,75,80,75,230,Medium
male,group D,associate's degree,free/reduced,none,54,66,65,185,Medium
female,group C,master's degree,standard,none,70,64,65,199,Medium
male,group D,some high school,standard,none,91,77,72,240,High
female,group D,some high school,standard,completed,33,44,50,127,Low
female,group B,high school,standard,none,45,50,41,136,Low
male,group A,high school,free/reduced,none,45,33,32,110,Low
male,group D,bachelor's degree,free/reduced,none,62,61,57,180,Medium
male,group E,associate's degree,free/reduced,completed,92,79,77,248,High
female,group D,some college,standard,none,74,75,79,228,Medium
female,group C,high school,standard,completed,81,79,83,243,High
male,group C,associate's degree,free/reduced,none,76,71,66,213,Medium
female,group C,associate's degree,standard,completed,57,72,73,202,Medium
male,group A,some college,free/reduced,none,63,61,55,179,Low
female,group D,high school,standard,completed,57,62,73,192,Medium
female,group B,some college,standard,completed,46,65,64,175,Low
male,group E,some high school,free/reduced,completed,49,50,45,144,Low
female,group D,some high school,standard,none,54,60,65,179,Low
male,group C,some high school,standard,completed,89,87,90,266,High
male,group D,bachelor's degree,standard,completed,77,70,78,225,Medium
female,group C,bachelor's degree,standard,none,46,63,60,169,Low
male,group B,associate's degree,standard,completed,66,59,70,195,Medium
female,group C,high school,standard,none,48,63,53,164,Low
male,group D,associate's degree,standard,completed,83,76,81,240,High
male,group C,high school,standard,completed,69,75,74,218,Medium
male,group E,bachelor's degree,free/reduced,none,73,52,54,179,Low
female,group D,some college,standard,none,43,59,59,161,Low
male,group D,master's degree,standard,completed,91,84,83,258,High
male,group C,associate's degree,standard,completed,49,58,55,162,Low
male,group B,master's degree,standard,none,87,86,84,257,High
male,group B,some high school,standard,completed,46,46,44,136,Low
female,group D,some high school,standard,completed,63,61,71,195,Medium
male,group E,bachelor's degree,standard,none,100,83,86,269,High
female,group E,bachelor's degree,standard,none,86,87,89,262,High
female,group A,some high school,free/reduced,completed,55,73,70,198,Medium
female,group E,master's degree,free/reduced,none,84,100,99,283,High
female,group B,some high school,free/reduced,none,39,51,48,138,Low
male,group B,high school,standard,none,67,57,52,176,Low
female,group D,some high school,standard,completed,85,100,97,282,High
male,group C,some high school,standard,none,64,51,44,159,Low
female,group E,associate's degree,standard,none,81,77,74,232,Medium
male,group C,associate's degree,standard,none,78,71,67,216,Medium
female,group B,some high school,standard,none,59,59,58,176,Low
male,group C,associate's degree,standard,none,74,76,70,220,Medium
female,group B,some college,free/reduced,completed,31,29,35,95,Low
female,group C,some high school,free/reduced,completed,54,55,65,174,Low
male,group C,high school,free/reduced,none,51,51,45,147,Low
female,group B,bachelor's degree,free/reduced,completed,57,65,68,190,Medium
female,group C,some high school,free/reduced,none,39,50,49,138,Low
male,group C,some college,standard,none,64,48,48,160,Low
male,group C,master's degree,free/reduced,completed,69,79,72,220,Medium
male,group A,some high school,standard,none,58,50,47,155,Low
female,group D,high school,standard,none,63,71,75,209,Medium
male,group E,associate's degree,standard,none,74,73,67,214,Medium
male,group E,some college,free/reduced,none,78,84,77,239,Medium
male,group A,some college,standard,completed,78,78,74,230,Medium
female,group B,some college,standard,none,75,76,81,232,Medium
male,group D,some college,standard,completed,70,60,65,195,Medium
male,group D,some college,standard,none,67,55,53,175,Low
female,group C,associate's degree,standard,none,87,93,88,268,High
male,group C,some college,standard,none,69,63,66,198,Medium
female,group A,associate's degree,standard,none,58,54,58,170,Low
male,group E,high school,free/reduced,completed,86,82,75,243,High
male,group C,high school,standard,none,73,70,65,208,Medium
male,group D,associate's degree,free/reduced,completed,85,91,92,268,High
female,group C,some high school,free/reduced,none,32,35,41,108,Low
female,group C,some college,standard,none,73,74,82,229,Medium
male,group A,some college,standard,completed,65,60,62,187,Medium
